"","country_name","country_text_id","country_id","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy","v2xcl_prpty","v2clprptyw","v2clprptym","v2exl_legitideol","v2exl_legitlead","v2clacjstm","v2clacjstw"
"8138","Burkina Faso","BFA",54,0.545,0.456,0.472,0.409,0.676,0.718,0.902,1.369,-1.272,-0.739,0.576,0.681
"8261","Cambodia","KHM",55,0.067,0.087,0.073,0.136,0.214,0.525,0.766,0.07,0.206,1.454,-0.859,-0.621
"8484","Indonesia","IDN",56,0.531,0.381,0.473,0.41,0.609,0.824,1.561,1.697,-0.617,-1.023,1.189,0.838
"8607","Mozambique","MOZ",57,0.271,0.259,0.274,0.254,0.397,0.53,0.874,-0.036,-0.308,0.214,0.372,0.429
"8841","Nepal","NPL",58,0.431,0.428,0.512,0.419,0.627,0.65,0.32,1.4,-0.281,-0.429,1.469,1.218
"9026","Nicaragua","NIC",59,0.03,0.118,0.053,0.142,0.231,0.752,1.412,1.099,1.542,1.095,-1.717,-1.209
"9127","Niger","NER",60,0.494,0.377,0.402,0.31,0.536,0.673,0.711,1.18,-0.775,1.082,1.317,1.196
"9239","Zambia","ZMB",61,0.307,0.241,0.263,0.245,0.348,0.668,0.492,1.379,-0.27,1.139,0.328,-0.077
"9362","Zimbabwe","ZWE",62,0.215,0.189,0.214,0.243,0.305,0.658,0.96,0.815,0.459,1.033,1.141,1.204
"9485","Guinea","GIN",63,0.154,0.204,0.16,0.234,0.366,0.324,-0.443,-0.188,-0.144,-0.281,-0.64,-0.472
"9608","Ivory Coast","CIV",64,0.505,0.36,0.361,0.387,0.556,0.699,0.87,1.223,-0.951,-0.026,0.512,0.444
"9727","Mauritania","MRT",65,0.266,0.133,0.158,0.227,0.395,0.714,1.277,0.917,-0.696,-0.126,-1.042,-0.748
"9909","Canada","CAN",66,0.761,0.733,0.759,0.593,0.839,0.943,2.549,2.537,-1.549,-1.25,2.613,2.424
"10143","Australia","AUS",67,0.808,0.76,0.832,0.636,0.874,0.894,2.197,1.942,-1.469,-1.828,2.878,2.765
"10266","Botswana","BWA",68,0.572,0.489,0.582,0.425,0.684,0.831,1.493,1.803,-0.883,1.137,1.696,1.649
"10373","Burundi","BDI",69,0.053,0.105,0.043,0.149,0.158,0.358,-1.237,0.874,-1.052,1.706,-1.553,-1.793
"10496","Cape Verde","CPV",70,0.634,0.619,0.706,0.483,0.784,0.881,2.117,1.842,-2.073,-1.031,1.291,1.182
"10599","Central African Republic","CAF",71,0.23,0.202,0.253,0.181,0.409,0.426,0.434,-0.319,0.885,1.414,-0.802,-0.615
"10833","Chile","CHL",72,0.781,0.663,0.81,0.578,0.87,0.882,1.655,2.329,-1.289,-2.161,1.578,1.556
"11018","Costa Rica","CRI",73,0.835,0.799,0.842,0.661,0.894,0.929,2.249,2.48,-1.974,-3.011,2.597,2.468
"11141","Timor-Leste","TLS",74,0.481,0.42,0.494,0.406,0.675,0.636,0.962,0.685,-0.032,1.256,0.335,-0.081
"11334","Ecuador","ECU",75,0.494,0.448,0.473,0.457,0.652,0.897,2.25,1.936,-0.942,-0.329,0.512,0.557
"11568","France","FRA",76,0.813,0.781,0.803,0.612,0.879,0.948,2.791,2.41,-1.3,-1.404,2.768,2.206
"11798","Germany","DEU",77,0.842,0.82,0.833,0.635,0.879,0.97,3.232,2.695,-2.826,-2.208,3.669,3.463
"12032","Guatemala","GTM",78,0.302,0.257,0.421,0.349,0.589,0.65,0.913,0.813,-0.703,-1.711,-0.637,-0.633
"12266","Iran","IRN",79,0.159,0.193,0.149,0.056,0.207,0.725,1.15,1.173,2.419,1.108,0.635,-0.281
"12369","Iraq","IRQ",80,0.284,0.202,0.249,0.255,0.399,0.717,1.01,1.23,1.069,0.597,-0.208,-0.609
"12473","Ireland","IRL",81,0.8,0.786,0.822,0.644,0.886,0.926,2.456,2.221,-1.436,-2.799,2.946,2.889
"12635","Italy","ITA",82,0.796,0.791,0.792,0.679,0.868,0.933,2.461,2.364,-1.452,-1.353,3.028,2.901
"12736","Jordan","JOR",83,0.214,0.237,0.242,0.121,0.262,0.766,1.286,1.374,-1.268,1.1,1.709,1.216
"12789","Latvia","LVA",84,0.666,0.711,0.74,0.584,0.825,0.906,2.31,2.037,-0.998,-1.95,2.163,2.047
"12912","Lesotho","LSO",85,0.469,0.479,0.444,0.381,0.6,0.632,0.379,1.225,-0.971,0.242,1.195,0.667
"13114","Liberia","LBR",86,0.441,0.408,0.452,0.344,0.629,0.774,1.631,1.133,-0.796,-0.687,1.188,1.009
"13237","Malawi","MWI",87,0.388,0.314,0.446,0.334,0.532,0.751,1.327,1.205,-1.913,0.832,1.686,1.197
"13360","Maldives","MDV",88,0.146,0.265,0.201,0.237,0.39,0.638,0.658,0.974,0.504,-0.345,-0.332,-0.877
"13472","Mongolia","MNG",89,0.54,0.487,0.517,0.366,0.655,0.934,2.618,2.212,-1.257,-1.915,0.972,0.914
"13706","Morocco","MAR",90,0.25,0.19,0.245,0.166,0.264,0.82,1.343,1.846,0.557,1.234,1.615,1.558
"13938","Netherlands","NLD",91,0.81,0.799,0.831,0.632,0.878,0.936,2.651,2.242,-2.037,-0.568,2.677,2.342
"14058","Panama","PAN",92,0.606,0.479,0.547,0.451,0.731,0.765,1.388,1.261,-2.261,-1.809,0.89,1.107
"14181","Papua New Guinea","PNG",93,0.233,0.243,0.342,0.264,0.432,0.648,0.724,0.97,-1.742,-1.165,0.654,0.437
"14304","Qatar","QAT",94,0.092,0.117,0.094,0.024,0.043,0.537,0.765,0.133,1.046,2.49,0.736,0.341
"14427","Sierra Leone","SLE",95,0.488,0.352,0.38,0.369,0.545,0.659,0.547,1.223,-1.535,-0.151,1.275,1.085
"14661","Spain","ESP",96,0.759,0.763,0.777,0.6,0.852,0.956,3.011,2.455,-1.761,-1.88,2.652,2.493
"14764","Syria","SYR",97,0.02,0.07,0.027,0.06,0.138,0.448,0.346,-0.062,1.907,1.583,-2.391,-2.117
"14998","Tunisia","TUN",98,0.664,0.593,0.64,0.494,0.733,0.887,1.954,2.114,-0.885,-0.124,1.75,1.918
"15232","Turkey","TUR",99,0.093,0.234,0.112,0.195,0.292,0.622,0.864,0.636,2.088,2.318,0.374,-0.069
