"","country_name","country_text_id","country_id","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy","e_miinteco","e_miinterc"
"12635","Italy","ITA",82,0.796,0.791,0.792,0.679,0.868,NA,NA
"12736","Jordan","JOR",83,0.214,0.237,0.242,0.121,0.262,NA,NA
"12789","Latvia","LVA",84,0.666,0.711,0.74,0.584,0.825,NA,NA
"12912","Lesotho","LSO",85,0.469,0.479,0.444,0.381,0.6,NA,NA
"13114","Liberia","LBR",86,0.441,0.408,0.452,0.344,0.629,NA,NA
"13237","Malawi","MWI",87,0.388,0.314,0.446,0.334,0.532,NA,NA
"13360","Maldives","MDV",88,0.146,0.265,0.201,0.237,0.39,NA,NA
"13472","Mongolia","MNG",89,0.54,0.487,0.517,0.366,0.655,NA,NA
"13706","Morocco","MAR",90,0.25,0.19,0.245,0.166,0.264,NA,NA
"13938","Netherlands","NLD",91,0.81,0.799,0.831,0.632,0.878,NA,NA
"14058","Panama","PAN",92,0.606,0.479,0.547,0.451,0.731,NA,NA
"14181","Papua New Guinea","PNG",93,0.233,0.243,0.342,0.264,0.432,NA,NA
"14304","Qatar","QAT",94,0.092,0.117,0.094,0.024,0.043,NA,NA
"14427","Sierra Leone","SLE",95,0.488,0.352,0.38,0.369,0.545,NA,NA
"14661","Spain","ESP",96,0.759,0.763,0.777,0.6,0.852,NA,NA
"14764","Syria","SYR",97,0.02,0.07,0.027,0.06,0.138,NA,NA
"14998","Tunisia","TUN",98,0.664,0.593,0.64,0.494,0.733,NA,NA
"15232","Turkey","TUR",99,0.093,0.234,0.112,0.195,0.292,NA,NA
"15265","Ukraine","UKR",100,0.35,0.276,0.237,0.267,0.408,NA,NA
"15499","United Kingdom","GBR",101,0.746,0.744,0.813,0.646,0.876,NA,NA
"15697","Uruguay","URY",102,0.831,0.781,0.818,0.728,0.891,NA,NA
"15820","Algeria","DZA",103,0.219,0.252,0.162,0.116,0.306,NA,NA
"15943","Angola","AGO",104,0.178,0.151,0.17,0.103,0.366,NA,NA
"15976","Armenia","ARM",105,0.464,0.45,0.415,0.353,0.536,NA,NA
"16009","Azerbaijan","AZE",106,0.05,0.112,0.058,0.061,0.192,NA,NA
"16042","Belarus","BLR",107,0.101,0.275,0.113,0.101,0.255,NA,NA
"16104","Cameroon","CMR",108,0.107,0.188,0.121,0.11,0.292,NA,NA
"16207","Chad","TCD",109,0.134,0.099,0.08,0.133,0.268,NA,NA
"16441","China","CHN",110,0.127,0.097,0.046,0.042,0.077,NA,NA
"16564","Democratic Republic of the Congo","COD",111,0.134,0.193,0.122,0.211,0.317,NA,NA
"16684","Republic of the Congo","COG",112,0.183,0.123,0.103,0.183,0.247,NA,NA
"16807","Djibouti","DJI",113,0.158,0.178,0.117,0.139,0.256,NA,NA
"17020","Dominican Republic","DOM",114,0.374,0.278,0.294,0.345,0.549,NA,NA
"17143","Eritrea","ERI",115,0.02,0.133,0.007,0.009,0.068,NA,NA
"17256","Gabon","GAB",116,0.287,0.297,0.217,0.272,0.389,NA,NA
"17379","The Gambia","GMB",117,0.384,0.384,0.423,0.349,0.546,NA,NA
"17412","Georgia","GEO",118,0.534,0.551,0.542,0.447,0.68,NA,NA
"17535","Guinea-Bissau","GNB",119,0.237,0.278,0.322,0.228,0.507,NA,NA
"17658","Jamaica","JAM",120,0.693,0.635,0.698,0.555,0.812,NA,NA
"17691","Kazakhstan","KAZ",121,0.094,0.185,0.111,0.08,0.235,NA,NA
"17724","Kyrgyzstan","KGZ",122,0.381,0.323,0.341,0.273,0.467,NA,NA
"17847","Laos","LAO",123,0.068,0.112,0.085,0.111,0.127,NA,NA
"17996","Libya","LBY",124,0.243,0.188,0.153,0.168,0.272,NA,NA
"18202","Madagascar","MDG",125,0.292,0.237,0.289,0.31,0.494,NA,NA
"18235","Moldova","MDA",126,0.303,0.359,0.401,0.33,0.516,NA,NA
"18358","Namibia","NAM",127,0.521,0.421,0.567,0.425,0.694,NA,NA
"18416","Palestine/West Bank","PSE",128,0.252,0.265,0.185,0.185,0.277,NA,NA
"18523","Rwanda","RWA",129,0.214,0.212,0.125,0.202,0.231,NA,NA
"18646","Somalia","SOM",130,0.157,0.075,0.105,0.082,0.162,NA,NA
"18769","Sri Lanka","LKA",131,0.435,0.415,0.477,0.378,0.615,NA,NA
"18892","Eswatini","SWZ",132,0.102,0.079,0.113,0.124,0.131,NA,NA
"18925","Tajikistan","TJK",133,0.038,0.078,0.053,0.052,0.166,NA,NA
"19032","Togo","TGO",134,0.357,0.353,0.242,0.219,0.464,NA,NA
"19155","Trinidad and Tobago","TTO",135,0.673,0.599,0.64,0.483,0.749,NA,NA
"19188","Turkmenistan","TKM",136,0.035,0.079,0.031,0.033,0.15,NA,NA
"19265","Palestine/Gaza","PSG",138,0.048,0.169,0.042,0.095,0.119,NA,NA
"19357","Somaliland","SML",139,0.252,0.174,0.26,0.252,0.413,NA,NA
"19522","Uzbekistan","UZB",140,0.188,0.139,0.066,0.058,0.189,NA,NA
"19750","Austria","AUT",144,0.686,0.743,0.754,0.624,0.837,NA,NA
"19873","Bahrain","BHR",146,0.04,0.113,0.044,0.034,0.117,NA,NA
"19996","Barbados","BRB",147,0.661,0.619,0.657,0.334,0.773,NA,NA
"20196","Belgium","BEL",148,0.799,0.829,0.83,0.639,0.894,NA,NA
"20227","Bosnia and Herzegovina","BIH",150,0.355,0.375,0.37,0.312,0.527,NA,NA
"20372","Bulgaria","BGR",152,0.483,0.472,0.513,0.454,0.614,NA,NA
"20463","Comoros","COM",153,0.252,0.274,0.174,0.26,0.385,NA,NA
"20499","Croatia","HRV",154,0.554,0.595,0.62,0.522,0.736,NA,NA
"20733","Cuba","CUB",155,0.103,0.227,0.062,0.079,0.177,NA,NA
"20856","Cyprus","CYP",156,0.723,0.737,0.727,0.563,0.835,NA,NA
"20961","Czechia","CZE",157,0.673,0.731,0.725,0.547,0.823,NA,NA
"21195","Denmark","DNK",158,0.878,0.882,0.892,0.708,0.919,NA,NA
"21318","Equatorial Guinea","GNQ",160,0.062,0.112,0.055,0.05,0.176,NA,NA
"21373","Estonia","EST",161,0.833,0.811,0.86,0.64,0.904,NA,NA
"21496","Fiji","FJI",162,0.303,0.314,0.289,0.201,0.412,NA,NA
"21710","Finland","FIN",163,0.804,0.807,0.837,0.619,0.876,NA,NA
"21911","Greece","GRC",164,0.739,0.74,0.755,0.608,0.849,NA,NA
"22034","Guyana","GUY",166,0.478,0.503,0.463,0.409,0.675,NA,NA
"22157","Hong Kong","HKG",167,0.257,0.283,0.265,0.118,0.316,NA,NA
"22280","Iceland","ISL",168,0.777,0.814,0.8,0.657,0.882,NA,NA
"22355","Israel","ISR",169,0.557,0.57,0.626,0.448,0.703,NA,NA
"22589","Kuwait","KWT",171,0.303,0.258,0.299,0.096,0.327,NA,NA
"22644","Lithuania","LTU",173,0.62,0.699,0.755,0.614,0.819,NA,NA
"22852","Luxembourg","LUX",174,0.835,0.827,0.8,0.637,0.879,NA,NA
"22884","North Macedonia","MKD",176,0.452,0.4,0.393,0.394,0.579,NA,NA
"23007","Malaysia","MYS",177,0.343,0.325,0.312,0.266,0.439,NA,NA
"23130","Malta","MLT",178,0.619,0.66,0.567,0.562,0.764,NA,NA
"23253","Mauritius","MUS",180,0.673,0.633,0.656,0.497,0.767,NA,NA
"23408","Montenegro","MNE",183,0.356,0.373,0.364,0.303,0.462,NA,NA
"23590","New Zealand","NZL",185,0.774,0.802,0.843,0.7,0.896,NA,NA
"23824","Norway","NOR",186,0.857,0.849,0.85,0.637,0.886,NA,NA
"24058","Oman","OMN",187,0.067,0.188,0.138,0.126,0.176,NA,NA
"24270","Paraguay","PRY",189,0.348,0.239,0.416,0.364,0.585,NA,NA
"24504","Romania","ROU",190,0.329,0.509,0.487,0.475,0.691,NA,NA
"24627","Sao Tome and Principe","STP",196,0.539,0.48,0.56,0.421,0.677,NA,NA
"24858","Saudi Arabia","SAU",197,0.051,0.116,0.044,0.023,0.016,NA,NA
"25076","Serbia","SRB",198,0.246,0.308,0.292,0.24,0.363,NA,NA
"25196","Seychelles","SYC",199,0.507,0.494,0.525,0.248,0.607,NA,NA
"25352","Singapore","SGP",200,0.344,0.347,0.33,0.115,0.408,NA,NA
"25388","Slovakia","SVK",201,0.634,0.651,0.708,0.603,0.815,NA,NA
"25422","Slovenia","SVN",202,0.751,0.739,0.766,0.627,0.835,NA,NA
"25545","Solomon Islands","SLB",203,0.358,0.334,0.463,0.34,0.595,NA,NA
"25668","Vanuatu","VUT",206,0.652,0.62,0.672,0.477,0.772,NA,NA
"25720","United Arab Emirates","ARE",207,0.074,0.141,0.093,0.032,0.093,NA,NA
"25985","Hungary","HUN",210,0.269,0.35,0.381,0.334,0.483,NA,NA
"26152","Zanzibar","ZZB",236,0.216,0.239,0.223,0.177,0.268,NA,NA
