"","country_name","country_text_id","country_id","v2xcs_ccsi","v2x_gencs","v2xcl_prpty","v2clprptyw","v2clprptym"
"14427","Sierra Leone","SLE",95,0.916,0.893,0.659,0.547,1.223
"14661","Spain","ESP",96,0.925,0.896,0.956,3.011,2.455
"14764","Syria","SYR",97,0.03,0.455,0.448,0.346,-0.062
"14998","Tunisia","TUN",98,0.865,0.776,0.887,1.954,2.114
"15232","Turkey","TUR",99,0.212,0.278,0.622,0.864,0.636
"15265","Ukraine","UKR",100,0.74,0.847,0.903,2.385,1.916
"15499","United Kingdom","GBR",101,0.914,0.928,0.858,1.944,1.678
"15697","Uruguay","URY",102,0.896,0.859,0.885,2.036,1.983
"15820","Algeria","DZA",103,0.29,0.752,0.761,1.262,1.334
"15943","Angola","AGO",104,0.406,0.634,0.568,0.285,0.811
"15976","Armenia","ARM",105,0.863,0.928,0.937,2.494,2.396
"16009","Azerbaijan","AZE",106,0.113,0.583,0.646,0.861,0.855
"16042","Belarus","BLR",107,0.322,0.849,0.769,1.504,1.158
"16104","Cameroon","CMR",108,0.422,0.608,0.77,1.51,1.171
"16207","Chad","TCD",109,0.405,0.547,0.72,0.399,1.898
"16441","China","CHN",110,0.106,0.658,0.424,0.632,-0.511
"16564","Democratic Republic of the Congo","COD",111,0.574,0.589,0.236,-1.494,0.144
"16684","Republic of the Congo","COG",112,0.167,0.302,0.562,1.169,-0.091
"16807","Djibouti","DJI",113,0.526,0.333,0.561,0.147,0.951
"17020","Dominican Republic","DOM",114,0.9,0.852,0.843,2.046,1.393
"17143","Eritrea","ERI",115,0.072,0.173,0.063,-1.536,-2.112
"17256","Gabon","GAB",116,0.828,0.759,0.747,0.684,1.832
"17379","The Gambia","GMB",117,0.883,0.731,0.814,1.376,1.797
"17412","Georgia","GEO",118,0.924,0.925,0.89,1.828,2.253
"17535","Guinea-Bissau","GNB",119,0.693,0.685,0.716,1.021,1.208
"17658","Jamaica","JAM",120,0.944,0.913,0.874,2.079,1.759
"17691","Kazakhstan","KAZ",121,0.331,0.787,0.82,1.847,1.335
"17724","Kyrgyzstan","KGZ",122,0.726,0.798,0.837,1.986,1.403
"17847","Laos","LAO",123,0.163,0.33,0.273,-0.43,-0.612
"17996","Libya","LBY",124,0.803,0.213,0.613,0.965,0.462
"18202","Madagascar","MDG",125,0.948,0.78,0.887,1.858,2.175
"18235","Moldova","MDA",126,0.69,0.89,0.935,2.655,2.222
"18358","Namibia","NAM",127,0.923,0.758,0.789,1.298,1.57
"18416","Palestine/West Bank","PSE",128,0.677,0.715,0.776,1.414,1.36
"18523","Rwanda","RWA",129,0.315,0.714,0.309,1.007,-1.772
"18646","Somalia","SOM",130,0.481,0.237,0.256,-0.534,-0.65
"18769","Sri Lanka","LKA",131,0.846,0.84,0.818,1.166,2.027
"18892","Eswatini","SWZ",132,0.151,0.358,0.157,-1.38,-0.807
"18925","Tajikistan","TJK",133,0.172,0.267,0.493,0.549,0.069
"19032","Togo","TGO",134,0.642,0.677,0.8,1.421,1.573
"19155","Trinidad and Tobago","TTO",135,0.918,0.881,0.807,1.573,1.459
"19188","Turkmenistan","TKM",136,0.025,0.256,0.161,-0.927,-1.176
"19265","Palestine/Gaza","PSG",138,0.269,0.327,0.773,1.133,1.612
"19357","Somaliland","SML",139,0.664,0.498,0.746,1.548,0.94
"19522","Uzbekistan","UZB",140,0.214,0.522,0.56,0.836,0.248
"19750","Austria","AUT",144,0.891,0.89,0.95,2.89,2.383
"19873","Bahrain","BHR",146,0.04,0.418,0.69,1.232,0.76
"19996","Barbados","BRB",147,0.876,0.897,0.854,1.961,1.645
"20196","Belgium","BEL",148,0.911,0.877,0.953,2.971,2.382
"20227","Bosnia and Herzegovina","BIH",150,0.904,0.84,0.89,1.769,2.298
"20372","Bulgaria","BGR",152,0.803,0.923,0.907,2.311,2.042
"20463","Comoros","COM",153,0.719,0.344,0.672,0.701,1.173
"20499","Croatia","HRV",154,0.785,0.875,0.946,2.794,2.34
"20733","Cuba","CUB",155,0.072,0.68,0.268,-0.283,-0.789
"20856","Cyprus","CYP",156,0.922,0.771,0.807,1.749,1.302
"20961","Czechia","CZE",157,0.918,0.929,0.94,2.726,2.277
"21195","Denmark","DNK",158,0.97,0.923,0.935,2.529,2.334
"21318","Equatorial Guinea","GNQ",160,0.159,0.27,0.42,-0.039,0.124
"21373","Estonia","EST",161,0.958,0.917,0.923,2.508,2.134
"21496","Fiji","FJI",162,0.74,0.648,0.6,0.629,0.73
"21710","Finland","FIN",163,0.908,0.914,0.938,2.498,2.443
"21911","Greece","GRC",164,0.948,0.899,0.768,1.547,1.143
"22034","Guyana","GUY",166,0.936,0.871,0.861,1.963,1.67
"22157","Hong Kong","HKG",167,0.54,0.826,0.877,2.063,1.83
"22280","Iceland","ISL",168,0.953,0.839,0.966,3.165,2.606
"22355","Israel","ISR",169,0.688,0.847,0.874,2.015,1.86
"22589","Kuwait","KWT",171,0.473,0.391,0.693,1.339,0.698
"22644","Lithuania","LTU",173,0.853,0.88,0.941,2.885,2.081
"22852","Luxembourg","LUX",174,0.968,0.723,0.933,2.63,2.223
"22884","North Macedonia","MKD",176,0.804,0.829,0.818,1.4,1.805
"23007","Malaysia","MYS",177,0.721,0.745,0.721,1.203,1.033
"23130","Malta","MLT",178,0.929,0.769,0.87,2.156,1.651
"23253","Mauritius","MUS",180,0.87,0.843,0.823,1.75,1.477
"23408","Montenegro","MNE",183,0.806,0.852,0.908,2.035,2.314
"23590","New Zealand","NZL",185,0.94,0.919,0.94,2.732,2.213
"23824","Norway","NOR",186,0.965,0.911,0.96,2.992,2.59
"24058","Oman","OMN",187,0.181,0.341,0.626,0.68,0.888
"24270","Paraguay","PRY",189,0.794,0.659,0.764,1.376,1.259
"24504","Romania","ROU",190,0.73,0.865,0.911,2.18,2.232
"24627","Sao Tome and Principe","STP",196,0.774,0.79,0.828,1.822,1.428
"24858","Saudi Arabia","SAU",197,0.118,0.196,0.545,-0.056,1.033
"25076","Serbia","SRB",198,0.661,0.767,0.899,2.279,1.937
"25196","Seychelles","SYC",199,0.807,0.792,0.749,1.657,0.875
"25352","Singapore","SGP",200,0.365,0.761,0.714,0.965,1.238
"25388","Slovakia","SVK",201,0.763,0.839,0.934,2.652,2.189
"25422","Slovenia","SVN",202,0.919,0.929,0.948,2.852,2.374
"25545","Solomon Islands","SLB",203,0.921,0.522,0.784,1.309,1.531
"25668","Vanuatu","VUT",206,0.961,0.684,0.727,0.938,1.38
"25720","United Arab Emirates","ARE",207,0.159,0.354,0.403,0.121,-0.184
"25985","Hungary","HUN",210,0.563,0.851,0.926,2.517,2.179
"26152","Zanzibar","ZZB",236,0.51,0.445,0.788,1.319,1.558
