"","country_name","country_text_id","country_id","v2xcs_ccsi","v2x_gencs","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy"
"6653","Kosovo","XKX",43,0.85,0.761,0.415,0.417,0.432,0.359,0.616
"6758","Lebanon","LBN",44,0.723,0.883,0.299,0.244,0.282,0.264,0.447
"6867","Nigeria","NGA",45,0.837,0.798,0.411,0.321,0.398,0.376,0.563
"6990","Philippines","PHL",46,0.807,0.761,0.401,0.235,0.317,0.325,0.483
"7099","Tanzania","TZA",47,0.543,0.784,0.338,0.333,0.339,0.267,0.397
"7222","Taiwan","TWN",48,0.919,0.828,0.744,0.753,0.737,0.668,0.845
"7456","Thailand","THA",49,0.307,0.623,0.04,0.145,0.108,0.099,0.164
"7579","Uganda","UGA",50,0.314,0.765,0.272,0.175,0.219,0.218,0.3
"7803","Venezuela","VEN",51,0.326,0.782,0.038,0.132,0.071,0.16,0.216
"7926","Benin","BEN",52,0.863,0.874,0.44,0.471,0.489,0.404,0.622
"8049","Bhutan","BTN",53,0.723,0.711,0.515,0.485,0.49,0.35,0.579
"8138","Burkina Faso","BFA",54,0.896,0.864,0.545,0.456,0.472,0.409,0.676
"8261","Cambodia","KHM",55,0.26,0.418,0.067,0.087,0.073,0.136,0.214
"8484","Indonesia","IDN",56,0.775,0.644,0.531,0.381,0.473,0.41,0.609
"8607","Mozambique","MOZ",57,0.744,0.742,0.271,0.259,0.274,0.254,0.397
"8841","Nepal","NPL",58,0.808,0.71,0.431,0.428,0.512,0.419,0.627
"9026","Nicaragua","NIC",59,0.15,0.541,0.03,0.118,0.053,0.142,0.231
"9127","Niger","NER",60,0.827,0.738,0.494,0.377,0.402,0.31,0.536
"9239","Zambia","ZMB",61,0.678,0.863,0.307,0.241,0.263,0.245,0.348
"9362","Zimbabwe","ZWE",62,0.586,0.674,0.215,0.189,0.214,0.243,0.305
"9485","Guinea","GIN",63,0.561,0.488,0.154,0.204,0.16,0.234,0.366
"9608","Ivory Coast","CIV",64,0.858,0.644,0.505,0.36,0.361,0.387,0.556
"9727","Mauritania","MRT",65,0.504,0.489,0.266,0.133,0.158,0.227,0.395
"9909","Canada","CAN",66,0.879,0.863,0.761,0.733,0.759,0.593,0.839
"10143","Australia","AUS",67,0.941,0.902,0.808,0.76,0.832,0.636,0.874
"10266","Botswana","BWA",68,0.846,0.8,0.572,0.489,0.582,0.425,0.684
"10373","Burundi","BDI",69,0.067,0.489,0.053,0.105,0.043,0.149,0.158
"10496","Cape Verde","CPV",70,0.905,0.721,0.634,0.619,0.706,0.483,0.784
"10599","Central African Republic","CAF",71,0.711,0.617,0.23,0.202,0.253,0.181,0.409
"10833","Chile","CHL",72,0.908,0.774,0.781,0.663,0.81,0.578,0.87
"11018","Costa Rica","CRI",73,0.949,0.853,0.835,0.799,0.842,0.661,0.894
"11141","Timor-Leste","TLS",74,0.818,0.595,0.481,0.42,0.494,0.406,0.675
"11334","Ecuador","ECU",75,0.782,0.826,0.494,0.448,0.473,0.457,0.652
"11568","France","FRA",76,0.892,0.913,0.813,0.781,0.803,0.612,0.879
"11798","Germany","DEU",77,0.892,0.895,0.842,0.82,0.833,0.635,0.879
"12032","Guatemala","GTM",78,0.833,0.766,0.302,0.257,0.421,0.349,0.589
"12266","Iran","IRN",79,0.136,0.251,0.159,0.193,0.149,0.056,0.207
"12369","Iraq","IRQ",80,0.665,0.436,0.284,0.202,0.249,0.255,0.399
"12473","Ireland","IRL",81,0.964,0.891,0.8,0.786,0.822,0.644,0.886
"12635","Italy","ITA",82,0.964,0.851,0.796,0.791,0.792,0.679,0.868
"12736","Jordan","JOR",83,0.579,0.597,0.214,0.237,0.242,0.121,0.262
"12789","Latvia","LVA",84,0.913,0.941,0.666,0.711,0.74,0.584,0.825
"12912","Lesotho","LSO",85,0.851,0.746,0.469,0.479,0.444,0.381,0.6
"13114","Liberia","LBR",86,0.945,0.809,0.441,0.408,0.452,0.344,0.629
"13237","Malawi","MWI",87,0.83,0.676,0.388,0.314,0.446,0.334,0.532
"13360","Maldives","MDV",88,0.421,0.445,0.146,0.265,0.201,0.237,0.39
"13472","Mongolia","MNG",89,0.881,0.888,0.54,0.487,0.517,0.366,0.655
"13706","Morocco","MAR",90,0.424,0.742,0.25,0.19,0.245,0.166,0.264
"13938","Netherlands","NLD",91,0.875,0.783,0.81,0.799,0.831,0.632,0.878
"14058","Panama","PAN",92,0.862,0.757,0.606,0.479,0.547,0.451,0.731
"14181","Papua New Guinea","PNG",93,0.921,0.525,0.233,0.243,0.342,0.264,0.432
"14304","Qatar","QAT",94,0.24,0.426,0.092,0.117,0.094,0.024,0.043
"14427","Sierra Leone","SLE",95,0.916,0.893,0.488,0.352,0.38,0.369,0.545
"14661","Spain","ESP",96,0.925,0.896,0.759,0.763,0.777,0.6,0.852
