Campname,Outcomes Dropdown,Total PPE
FARNEY EL,0.66,7751.797012
FARLEY MIDDLE,0.47,8529.65666
FALL CREEK EL,0.62,7604.550466
EVERMAN H S,0.43,10566.2422
EULESS J H,0.63,8063.288778
EUGENE 'GENE' KRANZ J H,0.47,9759.49884
ERECKSON MIDDLE,0.8,8248.91981
ENNIS H S,0.5,9572.954486
ENERGIZED FOR EXCELLENCE ACADEMY E,0.42,9698.401868
EMMETT J CONRAD H S,0.45,10162.61311
EMERY EL,0.43,8047.419067
EMERSON EL,0.36,7895.201771
ELSIK H S,0.42,9167.168673
ELSA ENGLAND EL,0.85,6501.157908
ELOISE JAPHET ACADEMY,0.3,9090.967272
ELIAS LONGORIA SR MIDDLE,0.46,11585.14798
ELGIN MIDDLE,0.29,9367.401164
ELGIN H S,0.38,10836.17053
ELDER MIDDLE,0.3,8969.726257
EL PASO H S,0.56,9265.409601
EL DORADO H S,0.63,9031.591145
EL CAMPO H S,0.48,10522.26836
EISENHOWER MIDDLE,0.41,9606.491444
EISENHOWER H S,0.37,8993.291959
EDWIN M WELLS MIDDLE,0.25,8985.916714
EDNA MAE FIELDER EL,0.62,9245.547453
EDISON H S,0.34,11045.12723
EDINBURG NORTH H S,0.52,10638.41141
EDINBURG H S,0.45,10675.22945
ED WILLKIE MIDDLE,0.47,7796.046942
ECTOR COLLEGE PREP SUCCESS ACADEMY,0.23,9017.943163
ECONOMEDES H S,0.45,10332.87979
EASTWOOD MIDDLE,0.62,9332.815942
EASTWOOD H S,0.69,9461.626887
EASTSIDE EL,0.38,9131.855596
EASTLAKE H S,0.57,8964.903092
EASTERN HILLS H S,0.3,12094.48357
EAST VIEW H S,0.52,9428.749504
EAST CENTRAL HERITAGE MIDDLE,0.31,8023.064583
EAST CENTRAL H S,0.39,8438.490788
EAGLE PASS J H,0.58,9684.086945
EAGLE PASS HIGH SCHOOL,0.71,9611.880483
E J MOSS INT,0.63,8007.037553
DURYEA EL,0.42,9048.661831
DUNCANVILLE H S,0.43,9385.448359
DUMAS H S,0.56,9039.03309
DULLES MIDDLE,0.59,8275.433106
DULLES H S,0.71,9612.24621
DUEITT MIDDLE,0.26,8474.283691
DRIPPING SPRINGS H S,0.8,9242.195916
DR SUE A SHOOK SCHOOL,0.53,7637.445943
DR RONALD E MCNAIR JH,0.6,8620.170722
DR R E MARGO EL,0.49,9781.503701
DR LINDA HENRIE EL,0.51,8173.633751
DR LEO CIGARROA H S,0.36,12791.4448
DR KIRK LEWIS CAREER AND TECHNICAL,0.71,9864.296846
DR JOSEPH A FOWLER EL,0.46,7865.470637
DR JACK COCKRILL MIDDLE,0.73,8925.96564
DR AL DRAPER INTERMED,0.73,8451.796856
DR ABRAHAM P CANO FRESHMAN ACADEMY,0.61,9998.645515
DOWELL MIDDLE,0.73,8759.248087
DONNA NORTH H S,0.36,10509.24046
DONNA H S,0.43,11577.52719
DOERRE INT,0.66,7914.922208
DOBIE J H,0.59,7141.075381
DOBIE H S,0.56,9675.930365
DILLINGHAM INT,0.42,8865.897804
DICKINSON H S,0.56,9392.886702
DIAMOND HILL-JARVIS H S,0.23,11291.51891
DESOTO H S & ISTEAM3D,0.45,10831.94695
DESERT HILLS EL,0.48,9056.394967
DERETCHIN EL,0.79,7505.642514
DENTON H S,0.5,9820.247689
DENISON H S,0.62,10348.67439
DELAY MIDDLE,0.29,9986.531489
DEL VALLE MIDDLE,0.45,9323.192368
DEL VALLE H S,0.66,9399.059708
DEL VALLE H S,0.41,9826.79249
DEL RIO MIDDLE,0.38,9405.973675
DEL RIO H S,0.45,12244.42282
DEERPARK MIDDLE,0.54,8614.333534
DEER PARK HS,0.65,10698.8999
DECATUR H S,0.61,9971.218672
DEAN MIDDLE,0.4,9070.100187
DEAN LEAMAN J H SCHOOL,0.66,8595.769291
DE LEON MIDDLE,0.44,9501.650547
DAYTON H S,0.49,9696.818892
DAVIS H S ALDINE,0.36,8447.826666
DAVID W CARTER H S,0.39,10465.29963
DAVID CROCKETT MIDDLE,0.49,9736.944636
DANNY JONES MIDDLE,0.69,7428.677196
DANISH EL,0.51,8629.820675
DAN J KUBACAK EL,0.5,9033.659637
CYPRESSWOOD EL,0.33,7715.828519
CYPRESS WOODS H S,0.84,8554.934552
CYPRESS SPRINGS H S,0.61,9754.923204
CYPRESS RIDGE H S,0.61,9436.072805
CYPRESS RANCH H S,0.85,8676.911914
CYPRESS PARK H S,0.6,9558.453545
CYPRESS LAKES H S,0.59,8961.689966
CYPRESS FALLS H S,0.63,9362.955127
CYPRESS CREEK H S,0.65,9110.468376
CY-FAIR H S,0.75,9118.689034
CURTISTENE S MCCOWAN MIDDLE (ISTEA,0.3,9920.220608
CUNNINGHAM MIDDLE,0.43,9854.408372
CROWNOVER MIDDLE,0.62,8718.195357
CROWLEY H S,0.47,9995.428464
CROSBY MIDDLE,0.48,7609.576939
CROSBY H S,0.61,8754.962095
CROCKETT MIDDLE,0.37,8960.814781
CROCKETT MIDDLE,0.24,8404.622402
CROCKETT H S,0.52,11173.67752
CREEKWOOD MIDDLE,0.65,10457.01724
CREEKVIEW MIDDLE,0.58,8030.635631
CREEKVIEW H S,0.61,9898.288947
CREEKSIDE INT,0.52,8411.741978
CRANDALL H S,0.63,9729.265368
CRAIG MIDDLE,0.4,8268.484681
COYLE MIDDLE,0.42,8352.659421
CORSICANA H IGH SCHOOL,0.52,9751.190335
CORONADO H S,0.6,8124.269302
CORONADO H S,0.45,8985.926584
CORNERSTONE EL,0.86,8338.781114
COPPERAS COVE H S,0.56,10063.57084
COPPELL MIDDLE WEST,0.8,8366.503776
COPPELL MIDDLE NORTH,0.81,9483.592404
COPPELL MIDDLE EAST,0.86,10691.50285
COPPELL H S,0.84,10556.6418
COPELAND EL,0.61,7951.43248
COOPER H S,0.5,10178.5828
COOK MIDDLE,0.57,8485.496476
CONROE H S,0.57,8692.804358
CONNALLY MIDDLE,0.51,8778.777885
COMMONWEALTH EL,0.86,8076.354199
COLLINS INT,0.4,9115.42953
COLLINS EL,0.34,9977.971309
COLLEYVILLE HERITAGE H S,0.76,10274.94701
COLLEGE STATION H S,0.78,8327.180087
COLLEGE PARK H S,0.78,8231.545329
COL SANTOS BENAVIDES EL,0.69,9349.345513
COL JOHN O ENSOR MIDDLE,0.59,8745.966808
COBB MIDDLE,0.69,8513.918501
COBB 6TH GRADE CAMPUS,0.42,9715.256368
CLEVELAND MIDDLE,0.3,8271.946784
CLEVELAND H S,0.4,8809.69551
CLEMENTS H S,0.87,8624.652431
CLECKLER/HEALD EL,0.63,8806.722859
CLEBURNE H S,0.44,9649.604331
CLEAR SPRINGS H S,0.73,8486.604609
CLEAR LAKE INT,0.53,8637.917636
CLEAR LAKE H S,0.71,9054.328962
CLEAR FALLS H S,0.72,8284.553829
CLEAR CREEK H S,0.65,9543.189673
CLEAR BROOK H S,0.64,9263.89049
CLASSICAL CENTER AT BRANDENBURG MI,0.61,7645.336487
CLARK H S,0.73,8008.856762
CLARK H S,0.68,9222.733269
CINCO RANCH J H,0.75,9208.933573
CINCO RANCH H S,0.84,8380.938998
CIBOLO VALLEY EL,0.44,7808.452214
CIBOLO GREEN,0.68,8172.476793
CHURCHILL H S,0.65,8094.581504
CHURCH HILL MIDDLE,0.66,7859.095094
CHRISTEN MIDDLE,0.4,10410.75611
CHRISTA MCAULIFFE MIDDLE,0.26,11210.23182
CHISHOLM TRAIL MIDDLE,0.56,8812.574148
CHISHOLM TRAIL H S,0.61,9358.275257
CHESTER E JORDAN,0.43,7727.856523
CHAVEZ H S,0.36,8748.231882
CHARLES E PATTERSON MIDDLE,0.47,8304.027475
CHARLES BAXTER J H,0.4,10054.00222
CHAPIN H S,0.58,9028.534958
CHAPEL HILL H S,0.44,11116.81615
CHANNELVIEW H S,0.5,9261.937314
CHANCELLOR EL,0.39,9438.46159
CENTRAL MIDDLE,0.53,9983.068116
CENTRAL J H,0.67,8060.616304
CENTRAL H S,0.72,8812.485457
CENTRAL H S,0.48,8760.64001
CENTRAL EL,0.22,9599.458802
CENTENNIAL H S,0.88,8652.197785
CELE MIDDLE,0.56,9448.41537
CEDAR VALLEY MIDDLE,0.77,7625.207199
CEDAR RIDGE H S,0.66,8173.857791
CEDAR PARK MIDDLE,0.75,7977.621661
CEDAR PARK H S,0.81,8928.555143
CEDAR HILL H S,0.44,10126.48223
CEDAR CREEK MIDDLE,0.29,8217.404493
CEDAR CREEK INT,0.34,8507.52345
CEDAR CREEK H S,0.42,9389.615119
CEDAR BAYOU J H,0.46,9977.366408
CATHEY MIDDLE,0.66,9041.268452
CASTLEBERRY H S,0.49,11432.76522
CARTER-RIVERSIDE H S,0.35,10899.05565
CARTER J H,0.33,10991.53789
CARROLL SENIOR H S,0.94,10241.38946
CARROLL H S,0.41,11193.75317
CARROLL H S,0.88,9467.184056
CAROLYN AND VERNON MADDEN EL,0.74,8198.462173
CARLOS TRUAN J H,0.3,11283.86899
CARL WUNSCHE SR H S,0.71,9462.340129
CARDIFF J H,0.47,11038.64745
CAPT WALTER E CLARKE MIDDLE,0.48,9518.498786
CAPROCK H S,0.48,8673.15887
CANYON VISTA MIDDLE,0.85,7162.323019
CANYON RIDGE MIDDLE,0.81,7290.391127
CANYON LAKE H S,0.64,11160.79404
CANYON H S,0.67,8417.825236
CANYON H S,0.65,9423.212623
CANUTILLO H S,0.51,10435.02271
CANEY CREEK H S,0.45,9400.761059
CAMPBELL MIDDLE,0.42,9252.85448
CALHOUN H S,0.56,10774.76815
CALALLEN MIDDLE,0.51,9545.42841
CALALLEN H S,0.7,12320.50695
CACTUS RANCH EL,0.89,6757.881631
C M RICE MIDDLE,0.88,8769.295755
C E KING MIDDLE,0.28,10176.72586
C E KING H S,0.43,10584.11722
C E ELLISON H S,0.49,10310.38648
C C WINN HIGH SCHOOL,0.55,9932.65967
C A MCMILLEN H S,0.69,9036.497269
BYRON P STEELE II H S,0.76,7908.176071
BYRON NELSON H S,0.8,9244.796599
BUSSEY MIDDLE,0.29,9624.272671
BUSH MIDDLE,0.73,8518.647999
BURNET M S,0.22,11614.92205
BURNET H S,0.5,10367.22819
BURLESON H S,0.62,8979.955683
BURLESON CENTENNIAL H S,0.6,8148.284168
BURKBURNETT H S,0.47,10728.89614
BURGES H S,0.52,9448.535419
BURBANK MIDDLE,0.54,8343.051747
BURBANK H S,0.33,11791.32648
BURBANK EL,0.64,8796.223662
BULVERDE CREEK,0.65,7971.256748
BUDEWIG INT,0.41,8230.28962
BRYAN ADAMS H S,0.55,8655.114494
BROWNWOOD H S,0.45,9790.136915
BROWN MIDDLE,0.46,7624.471734
BROWN MIDDLE,0.48,7108.401316
BROOKS WESTER MIDDLE,0.71,7884.206736
BROADWAY EL,0.66,7383.251877
BRISCOE MIDDLE,0.59,7474.559147
BRISCOE J H,0.67,7264.183572
BRIDGELAND H S,0.86,8838.20591
BREWER MIDDLE,0.42,7958.330421
BREWER H S,0.5,9048.862077
BRENNAN H S,0.69,8162.721698
BRENHAM H S,0.53,10945.20201
BRAZOSWOOD H S,0.52,10390.04497
BRANDEIS H S,0.76,8140.306029
BRADLEY MIDDLE,0.57,8371.367802
BRACKENRIDGE H S,0.43,11063.77619
BOWMAN MIDDLE,0.5,9590.718394
BOWIE MIDDLE,0.35,10424.647
BOWIE MIDDLE,0.25,8197.123924
BOWIE H S,0.25,9851.683383
BOWIE H S,0.5,11707.2005
BOWIE H S,0.87,8969.779554
BOULTER MIDDLE,0.26,8627.910952
BOSWELL H S,0.69,8873.272004
BOOKER T WASHINGTON SPVA MAGNET,0.89,9138.474737
BONNIE HOLLAND EL,0.74,8062.320242
BONHAM MIDDLE,0.24,8321.199273
BONHAM EL,0.33,8912.951753
BONDY INT,0.51,9713.474664
BOERNE MIDDLE SOUTH,0.72,6991.854956
BOERNE H S,0.71,8949.394393
BOERNE - SAMUEL V CHAMPION H S,0.8,8025.216043
BLEYL MIDDLE,0.51,8559.91778
BLANSON CTE H S,0.69,9248.601713
BLALACK MIDDLE,0.54,8897.979199
BLACKSHEAR EL,0.51,8100.050591
BLACK MIDDLE,0.51,7554.042797
BLACK EL,0.58,7884.536803
BIRNHAM WOODS EL,0.64,6957.894196
BIRKES EL,0.71,7665.621486
BIRDVILLE H S,0.68,8956.27577
BILLY BAINES MIDDLE,0.6,8923.412864
BILL SYBERT SCHOOL,0.52,9622.22404
BIG SPRING H S,0.33,9725.930345
BEVERLY HILLS INT,0.47,10494.15071
BETTY HARWELL MIDDLE,0.35,10194.96928
BETHKE EL,0.49,8324.733703
BERRY MIDDLE,0.46,8349.00428
BERNAL MIDDLE,0.61,7917.596358
BERKNER H S,0.53,8861.317746
BENJAMIN FRANKLIN INTERNATIONAL EX,0.38,8600.40762
BENBROOK MIDDLE/HIGH SCHOOL,0.45,8587.325552
BENAVIDEZ EL,0.3,8356.961001
BELTON H S,0.56,9153.863858
BELLAIRE H S,0.64,8360.215757
BELL H S,0.67,8560.278739
BEL AIR H S,0.57,9584.081783
BECKENDORFF J H,0.85,7796.959038
BEAUMONT UNITED H S,0.3,10066.14193
BEATRIZ G GARZA MIDDLE,0.43,8564.720207
BEAR CREEK INT,0.79,7351.33666
BEAR BRANCH J H,0.6,8014.648458
BEAR BRANCH INT,0.53,8460.929615
BAYTOWN J H,0.38,10038.70556
BAY CITY H S,0.39,12329.28648
BASTROP H S,0.43,9696.366581
BARWISE MIDDLE,0.38,7330.470279
BARBERS HILL H S,0.8,12936.92758
BARBERS HILL EL SOUTH,0.72,9899.221199
BARANOFF EL,0.68,8090.379215
BANG EL,0.49,8399.705953
BANE EL,0.27,9672.983966
BAMMEL MIDDLE,0.21,9874.38399
BALL H S,0.42,11201.55087
BAKER MIDDLE,0.51,10054.36714
BAILEY M S,0.55,9026.836896
B L GARZA MIDDLE,0.53,11657.33384
B G HUDSON MIDDLE,0.59,7612.738519
B F TERRY H S,0.49,10354.74755
AZLE H S,0.63,9124.973507
AUSTIN MIDDLE,0.38,9625.39747
AUSTIN MIDDLE,0.43,9988.810963
AUSTIN H S,0.43,9652.975534
AUSTIN H S,0.3,9010.120139
AUSTIN H S,0.72,9215.724475
AUSTIN EL,0.39,7952.259807
AUSTIN EL,0.42,8849.643496
AUSTIN ACAD FOR EXCELL,0.74,8078.089411
AULT EL,0.59,7346.098491
ATASCOCITA SPRINGS EL,0.58,8070.824868
ATASCOCITA MIDDLE,0.47,9193.811748
ATASCOCITA H S,0.65,8246.646366
ASKEW EL,0.4,9687.613919
ARTIE L HENRY MIDDLE,0.71,7965.917807
ARTHUR L DAVILA MIDDLE,0.36,9922.415338
ARNOLD MIDDLE,0.62,8888.759462
ARLYNE & ALAN WEBER EL,0.56,8182.550201
ARLINGTON HEIGHTS H S,0.42,9726.605372
ARLINGTON H S,0.58,12774.9388
ARGYLE H S,0.87,10935.92063
ARAGON MIDDLE,0.66,8018.858989
ANTHONY MIDDLE,0.57,7541.123235
ANNE MCCORMICK SULLIVAN EL,0.81,7748.594196
ANNE FRANK EL,0.54,9044.444116
ANNA H S,0.57,10979.08977
ANN RICHARDS STEAM ACADEMY,0.4,8879.742277
ANGLETON J H SCHOOL,0.41,8194.80533
ANGLETON H S,0.53,9063.654048
ANDY DEKANEY H S,0.22,10361.74316
ANDREWS MIDDLE,0.39,7793.17148
ANDREWS H S,0.54,9990.721963
ANDREW JACKSON MIDDLE,0.36,8794.148949
ANDRESS H S,0.44,9912.386852
ANDRE EL,0.52,8573.708732
ANDERSON H S,0.78,9337.352877
AMERICAS H S,0.6,8791.969518
AMARILLO H S,0.63,8755.316011
ALVIN J H,0.43,10103.94574
ALVIN H S,0.5,11046.87849
ALVARADO H S,0.55,9785.054347
ALTON MEMORIAL J H,0.39,9640.432272
ALLEN H S,0.8,8314.22049
ALIEF MIDDLE,0.35,9090.86991
ALICE W DOUSE EL,0.5,7908.854057
ALICE JOHNSON J H,0.39,8647.158554
ALICE H S,0.34,11027.61649
ALEDO MIDDLE,0.71,8028.762908
ALEDO H S,0.79,10461.88797
ALDINE MIDDLE,0.27,9546.29036
ALDINE H S,0.34,9089.13003
ALBRIGHT MIDDLE,0.53,8855.628417
ALAMO HEIGHTS J H,0.63,8645.640297
ALAMO HEIGHTS H S,0.68,10037.45459
AKINS H S,0.57,9524.583891
AGUIRRE J H,0.45,8538.509827
AGNEW MIDDLE,0.36,7974.422754
ACTON MIDDLE,0.49,7866.563789
ABILENE H S,0.52,9136.545233
ABELL J H,0.42,7779.591412
A C JONES H S,0.39,11391.33911
A & M CONS H S,0.68,10306.05631
ZUE S BALES INT,0.65,8573.380142
ZELMA HUTSELL EL,0.45,11593.54578
ZAPATA NORTH EL,0.5,9736.484191
ZAPATA MIDDLE,0.28,10099.06525
ZAN WESLEY HOLMES JR MIDDLE,0.31,9443.692417
YWLA AT BILL ARNOLD,0.37,10373.85604
YSLETA MIDDLE,0.32,9465.229297
YOUNG MEN'S LEADERSHIP ACADEMY AT,0.31,10252.49437
YOUNG J H,0.6,10390.0876
YOUNG EL,0.35,9937.016775
YOUENS EL,0.34,9820.395274
YMLA AT JOHN F KENNEDY MIDDLE,0.35,10061.96454
YATES H S,0.28,10861.56796
WYNN SEALE METROPOLITAN SCHOOL OF,0.39,8970.559825
WYLIE J H,0.71,7342.031299
WYLIE INT,0.65,6240.379099
WYLIE EL,0.65,6290.071575
WORTH HEIGHTS EL,0.45,9140.270765
WORSHAM EL,0.28,9264.966127
WOODWAY EL,0.32,8998.058613
WOODSTONE EL,0.34,8466.093277
WOODSON SCHOOL,0.23,10448.68026
WOODS EL,0.52,8382.031403
WOODRIDGE FOREST MIDDLE,0.49,9939.321209
WOODRIDGE EL,0.59,9020.226952
WOODLAWN ACADEMY,0.33,11573.30157
WOODLAKE HILLS MIDDLE,0.38,9845.56026
WOODGATE INT,0.66,7805.215672
WOOD MIDDLE,0.36,10621.72822
WOOD EL,0.49,9883.426335
WM B TRAVIS EL,0.41,8707.904539
WINNETKA EL,0.55,8563.340408
WINDSOR VILLAGE EL,0.53,8337.806019
WINDCREST EL,0.33,9605.886436
WIMBERLEY H S,0.66,10248.21923
WILSON MIDDLE,0.54,9425.159842
WILSON MIDDLE,0.5,9100.318921
WILSON EL,0.57,9484.707807
WILSHIRE EL,0.53,8125.791492
WILLS POINT H S,0.5,9777.139898
WILLOW SPRINGS MIDDLE,0.85,10628.86165
WILLOW CREEK EL,0.61,7697.111916
WILLOW BEND EL,0.39,8168.673564
WILLIE E WILLIAMS EL,0.32,9227.004493
WILLIAMS EL,0.39,9128.369977
WILLIAM PASCHALL EL,0.34,9175.115673
WILLIAM M ANDERSON EL,0.49,8996.415602
WILLIAM J WINKLEY EL,0.6,8605.823746
WILLIAM J CLINTON EL,0.55,10460.09046
WILLIAM HAWLEY ATWELL LAW ACADEMY,0.27,10061.31075
WILLIAM H BYRD MIDDLE,0.43,8738.937849
WILLIAM E WYLIE EL,0.46,8096.462057
WILLIAM D SLIDER MIDDLE,0.54,9618.719671
WILLIAM B TRAVIS WORLD LANGUAGE AC,0.42,11069.85241
WILLBERN EL,0.5,9484.295987
WILKINSON MIDDLE,0.53,10081.95995
WILKINSON EL,0.49,7884.857467
WILKERSON INT,0.57,9156.522875
WILCHESTER EL,0.79,7641.125513
WIEDERSTEIN EL,0.48,8640.086436
WHITTIER MIDDLE,0.37,10426.75012
WHITESTONE EL,0.5,9414.905001
WHITEHOUSE J H,0.65,8074.184693
WHITE J H,0.42,9576.839005
WHITE E EL,0.45,8509.626902
WHISPERING PINES EL,0.2,9103.611354
WHEATLEY H S,0.27,11277.50237
WHARTON EL,0.27,10087.06598
WH FORD H S,0.44,11056.58779
WETMORE EL,0.45,8858.110834
WESTWOOD MATH SCIENCE LEADERSHIP M,0.62,10410.48538
WESTVIEW MIDDLE,0.33,11331.69645
WESTPARK EL,0.63,8128.97167
WESTERN HILLS EL,0.22,9076.804752
WESTER MIDDLE,0.75,9107.392963
WEST OSO H S,0.51,12704.87471
WEST MEMORIAL J H,0.49,9826.921742
WEST MEMORIAL EL,0.51,9218.303393
WEST MAIN EL,0.47,8430.885621
WEST EL,0.56,9545.33407
WEST CYPRESS HILLS EL,0.65,7756.358794
WEST COLUMBIA EL,0.4,8319.600581
WEST BIRDVILLE EL,0.46,8555.242419
WELLS EL,0.74,7625.572319
WELLINGTON EL,0.77,8023.754407
WELLBORN MIDDLE,0.59,9435.276959
WELCH MIDDLE,0.31,9523.227267
WEDGEWORTH EL,0.44,9336.35625
WEDGEWOOD EL,0.48,8922.89767
WEBB M S,0.22,11678.79347
WAYNE A COX EL,0.7,8320.95025
WAVERLY PARK EL,0.4,9495.523601
WATTS EL,0.53,8268.447127
WATAUGA MIDDLE,0.48,9426.382973
WATAUGA EL,0.42,8722.269549
WASHINGTON J H,0.47,10470.83116
WASHINGTON B T H S,0.32,11085.75988
WARREN MIDDLE,0.62,6875.493062
WARD EL,0.51,8177.387874
WANKE EL,0.47,8975.962252
WALZEM EL,0.31,10215.74582
WALTER HALL EL,0.61,7535.617686
WALNUT SPRINGS EL,0.53,8640.41339
WALNUT GROVE EL,0.84,9916.920594
WALNUT CREEK EL,0.26,10606.19076
WALNUT BEND EL,0.34,8295.225337
WALLY WATKINS EL,0.69,8189.308024
WALLER J H,0.48,9706.074726
WALLACE EL,0.44,8129.386907
WALKER STATION EL,0.77,9379.559984
WAKE VILLAGE EL,0.47,9718.2023
W S PERMENTER MIDDLE,0.34,9290.737663
W M GREEN EL,0.33,9013.115779
W LLOYD MEADOR EL,0.48,8851.674572
W L KISSAM EL,0.36,9199.830431
W H BONNER EL,0.49,8270.027117
W E CHALMERS EL,0.33,8638.20395
W A TODD MIDDLE,0.37,12544.6791
VOSS FARMS EL,0.52,7308.925299
VISTA HILLS EL,0.68,9070.038749
VIRIDIAN EL,0.62,7807.998406
VINEYARD RANCH EL,0.7,8365.652028
VILLARREAL EL,0.31,9682.387153
VIDOR MIDDLE,0.4,8623.093177
VIDOR J H,0.4,9449.702026
VIDOR EL,0.38,8838.439184
VICTORIA WALKER EL,0.46,9422.379323
VETERANS MIDDLE,0.33,11220.90735
VETERANS MIDDLE,0.39,11772.96356
VETERANS MEMORIAL EL,0.45,9171.338282
VETERANS HILL EL,0.45,8916.290491
VERNON MIDDLE,0.41,12363.8734
VERMILLION ROAD EL,0.46,8711.300276
VERAMENDI EL,0.61,6654.348054
VENUS EL,0.34,8215.763747
VELASCO EL,0.39,10142.24653
VELA MIDDLE,0.5,11687.51583
VANDEVENTER MIDDLE,0.78,8371.855433
VANDAGRIFF EL,0.72,8575.409586
VAN RAUB EL,0.63,7255.063278
VAN H S,0.54,10026.28393
VALLEY WEST EL,0.34,8585.059922
VALLEY RANCH EL,0.81,9421.986786
VALLEY RANCH EL,0.46,9332.956101
VALLEY OAKS EL,0.74,8326.577839
V M ADAMS EL,0.31,9545.211445
URSULA STEPHENS EL,0.5,10351.42273
URBAN PARK EL,0.43,9555.081431
UPLAND HEIGHTS EL,0.58,6888.109187
UNIVERSITY PARK ELEMENTARY,0.83,9508.732554
UNION HILL EL,0.47,10035.32641
UNDERWOOD EL,0.38,8202.481341
UHLAND EL,0.29,7084.961764
TYRRELL EL,0.42,9210.494453
TWAIN EL,0.73,7839.548034
TUSCANY HEIGHTS,0.65,8320.925155
TURNER EL,0.61,7787.577406
TULOSO-MIDWAY MIDDLE,0.46,9686.699538
TULOSO-MIDWAY INT,0.48,8504.033881
TRUMAN EL,0.66,9081.511392
TRIMMIER EL,0.37,9402.118792
TREVINO EL,0.68,8951.812594
TREASURE HILLS EL,0.49,8295.563096
TRAVIS SCIENCE ACADEMY,0.3,9145.534646
TRAVIS MIDDLE,0.36,9533.061687
TRAVIS MIDDLE,0.33,11110.68303
TRAVIS MIDDLE,0.36,8750.621181
TRAVIS INT,0.41,9826.705304
TRAVIS EL,0.37,9018.290992
TRAVIS EL,0.66,7941.087305
TRAVIS EL,0.25,10076.81445
TRAVIS EL,0.23,8775.624053
TRAVIS EL,0.14,7819.287361
TRAUTMANN EL,0.7,8944.313258
TRADITION EL,0.27,8727.951313
TRADEWIND EL,0.54,7885.730946
TOWNLEY EL,0.4,9883.226017
TOWNEWEST EL,0.38,10482.47633
TOUGH EL,0.8,8425.817585
TOSCH EL,0.38,8020.978717
TOMBALL J H,0.58,8513.818715
TOMBALL INT,0.62,8856.132316
TOMBALL EL,0.47,8195.008133
TOM LEA JR EL,0.53,8103.846879
TOM GREEN EL,0.38,8235.824935
TOM AND NITA NICHOLS MIDDLE,0.62,8637.772385
TOBIAS EL,0.45,8761.921117
TISINGER EL,0.34,8134.938561
TIOGA SCHOOL,0.55,8810.884444
TINSLEY EL,0.34,8645.011516
TIMPSON SCHOOL,0.4,11580.0944
TIMBERWOOD PARK EL,0.78,7638.711058
TIMBERS EL,0.48,9644.402615
TIMBERLINE EL,0.38,11337.10422
TIERRA DEL SOL EL,0.63,9325.872896
TICE EL,0.39,9958.525973
TIBBALS EL,0.72,7775.142551
THURGOOD MARSHALL LEADERSHIP ACADE,0.51,8232.981013
THREE LAKES MIDDLE,0.46,9143.477837
THOUSAND OAKS EL,0.46,8583.879404
THORNTON EL,0.33,7656.240311
THORNTON EL,0.46,9549.491337
THORNTON EL,0.28,9017.049813
THOMAS MANOR,0.45,9952.820328
THOMAS J RUSK MIDDLE,0.39,11423.94383
THOMAS EL,0.33,11114.68803
THOMAS ARNOLD EL,0.54,6657.901209
THELMA ELIZABETH PAGE RICHARDSON E,0.45,9422.732852
THEISS EL,0.67,7611.552202
THE ACADEMY AT NOLA DUNN,0.56,7247.327005
TERRELL WELLS MIDDLE,0.39,10644.33623
TERRA VISTA MIDDLE,0.5,8144.521815
TERAVISTA EL,0.65,7654.870422
TENIE HOLMES EL,0.39,9130.823864
TEAGUE EL,0.4,9606.148888
TAYLOR RAY EL,0.63,11664.72089
TAYLOR MIDDLE,0.37,10088.06267
TAYLOR H S,0.38,12064.67187
TAYLOR EL,0.72,7659.82084
TAYLOR EL,0.42,7616.431864
TARVER-RENDON EL,0.6,7944.152749
TARVER EL,0.62,7932.473677
TANGLEWOOD MIDDLE,0.51,7994.8784
TANGLEWOOD EL,0.87,7774.999478
TADLOCK EL,0.62,7870.321641
TABASCO EL,0.55,10362.10959
T SANCHEZ EL / H OCHOA EL,0.48,9831.554936
T E BAXTER EL,0.46,8125.151405
T A SIMS EL,0.28,9259.297413
T A HOWARD MIDDLE,0.58,8459.080092
SYCAMORE SPRINGS MIDDLE,0.69,8239.536435
SYCAMORE SPRINGS EL,0.6,7802.883603
SUSIE FUENTES EL,0.43,8900.177134
SUNNYVALE MIDDLE,0.73,8341.82384
SUNNYVALE EL,0.63,8173.778981
SUNDOWN EL,0.52,11190.79351
SUN VALLEY EL,0.44,9512.32766
SUN RIDGE MIDDLE,0.54,9296.310614
SUMMITT EL,0.54,9475.871934
SUMMERWOOD EL,0.49,9470.401074
SUMMER CREEK MIDDLE,0.38,10649.8153
SULPHUR SPRINGS EL,0.45,8713.741685
SUGAR GROVE ACADEMY,0.18,9555.668877
SUE CROUCH INT SCH,0.51,9150.132502
SUE CREECH EL,0.65,9063.236236
STULTS ROAD EL,0.37,8435.543629
STUCHBERY EL,0.37,9367.925228
STUART PLACE EL,0.54,8177.114398
STROMAN MIDDLE,0.23,9672.756949
STRIPLING MIDDLE,0.43,9038.657461
STORY INT,0.35,9112.237647
STONEWALL/FLANDERS EL,0.3,10390.21022
STONE OAK EL,0.66,8193.208385
STINSON EL,0.74,8945.533953
STEWART EL,0.65,7838.800572
STEWART CREEK EL,0.58,7883.919991
STEVENS PARK EL,0.37,9664.723239
STEVENS EL,0.25,9211.068773
STEPHENS EL,0.47,9206.584853
STEPHEN F AUSTIN EL,0.68,9535.942583
